Date,Address,Location,Area,ExtraArea,TotalArea,Rooms,LandArea,Price
2023-09-13,Kristiansborg 300,"Bohuslän, Kungälvs kommun",215,115,330,5,3121,5350000
2023-09-07,Glöskär 255,"Kärna, Kungälvs kommun",111,22,133,4,2062,3520000
2023-08-29,Västra Röd 165,"Kärna, Kungälvs kommun",151,20,171,5,2263,5995000
2023-08-24,Snorregatan 3B,"Komarken, Kungälvs kommun",120,3,123,5,342,4225000
2023-08-23,Jägarvägen 13,"Romelanda, Kungälvs kommun",162,14,176,5,569,3900000
2023-08-16,Stora Lycke 400,"Bohuslän, Kungälvs kommun",111,5,116,5,761,3650000
2023-08-15,Dösebacka 410,"Romelanda, Kungälvs kommun",38,11,49,3,5960,2300000
2023-08-09,Mantalsgatan 9,"Tega, Kungälvs kommun",175,35,210,7,1105,4725000
2023-08-08,Skälebräckeliden 9,"Centrum, Kungälvs kommun",113,85,198,4,1608,6275000
2023-07-17,Duvesjön 228,"Romelanda, Kungälvs kommun",121,37,158,5,1150,4195000
2023-07-17,Klintegatan 22,"Centralt, Kungälvs kommun",119,55,174,5,999,6500000
2023-07-13,Galärgatan 2,"Kungälv Centrum, Kungälvs kommun",103,60,163,5,749,4300000
2023-07-13,Ulvebackegatan 3,"Munkegärde, Kungälvs kommun",129,44,173,5,927,4850000
2023-07-11,Vråstigen 4,"Överön, Kungälvs kommun",81,57,138,4,2619,3775000
2023-07-06,Kastellegårdsgatan 29,"Komarken, Kungälvs kommun",122,16,138,4,1033,5200000
2023-07-04,Sparråsvägen 140,"Kungälv - Ytterby, Kungälvs kommun",137,19,156,4,961,3850000
2023-07-04,Dammen 160,"Kärna, Kungälvs kommun",174,25,199,5,3234,3450000
2023-07-03,Tulpanvägen 15,"Kärna, Kungälvs kommun",105,140,245,4,914,3900000
2023-06-30,Gårdskiftegatan 5,"Ytterby, Kungälvs kommun",164,36,200,5,806,5250000
2023-06-30,Norrmannebo 270,"Romelanda, Kungälvs kommun, Kungälvs kommun",114,110,224,7,1400,4300000
2023-06-29,Dösebacka 120,"Romelanda, Kungälvs kommun",64,53,117,3,3824,2960000
2023-06-28,Kärnavägen 16,"Kärna, Kungälvs kommun",171,83,254,7,695,4300000
2023-06-22,Torp 250,"Kareby, Kungälvs kommun",159,48,207,4,1608,3950000
2023-06-21,Korpvägen 279,"Ullstorp, Kungälvs kommun",133,24,157,4,522,5850000
2019-06-03,Svartbrödragatan 6,"Komarken, Kungälvs kommun",124,70,194,5,1086,5035000
2019-06-03,Norgårdsvägen 7,"Tjuvkil, Kungälvs kommun",102,57,159,4,808,3200000
2019-05-30,Kareby kyrkväg 220,"Bohuslän, Kungälvs kommun",131,95,226,6,1498,4275000
2019-05-28,Knapegården 126,"Bohuslän, Kungälvs kommun",143,40,183,6,3842,4900000
2019-05-27,Vallby 110,"Solberga-Kode, Kungälvs kommun",127,14,141,5,12135,5050000
2019-05-24,Munkegärdegatan 309,"Munkegärde, Kungälvs kommun",118,16,134,4,440,4135000
2019-05-17,Solskiftegatan 33,"Ytterby, Kungälvs kommun",166,47,213,6,773,4600000
2019-05-16,Aspvägen 3,"Ytterby, Kungälvs kommun",144,92,236,7,1561,5610000
2019-05-14,Kareby kyrkväg 260,"Kareby, Kungälvs kommun",170,58,228,5,2934,3300000
2019-05-14,Halltorpsvägen 9,"Kode, Kungälvs kommun",96,70,166,5,1293,3800000
2019-05-13,Akvamarinvägen 6,"Kode, Kungälvs kommun",98,95,193,5,780,3000000
2019-05-13,Norra Arödsvägen 12,"Bohuslän, Kungälvs kommun",100,24,124,3,1883,3100000
2019-05-12,Storskiftegatan 67,"Ytterby, Kungälvs kommun",117,49,166,5,921,5130000
2019-05-10,Tegskiftegatan 70,"Ytterby, Kungälvs kommun",117,117,234,7,1020,5140000
2019-05-10,Oskarsberg 130,"Kareby, Kungälvs kommun",135,16,151,4,2796,3300000
2019-05-09,Jägersberg 340,"Bohuslän, Kungälvs kommun",146,30,176,5,29613,5750000
2019-05-08,Kristinedalsgatan 5,"Bohuslän, Kungälvs kommun",137,67,204,5,701,6700000
2019-05-04,Ragnhildsgatan 2,"Centralt, Kungälvs kommun",115,53,168,5,775,4100000
2019-04-26,Kristinedalsgatan 3,"Centrum, Kungälvs kommun",87,82,169,5,1231,5500000
2019-04-24,Broberg 120,"Tjuvkil, Kungälvs kommun",85,18,103,3,2064,3075000
2019-04-19,Häljeröd 400,"Romelanda, Kungälvs kommun",89,89,178,4,1181,2935000
2019-04-17,Tolleröd 160,"Kode, Kungälvs kommun",104,48,152,5,1582,3400000
2019-04-15,Bokvägen 11,"Fontin, Kungälvs kommun",112,17,129,5,600,5325000
2019-04-14,Kuskalundsvägen 5,"Hålta, Kungälvs kommun",75,20,95,3,1776,2800000
2019-04-12,Munkholmsgatan 5,"Kungälv, Kungälvs kommun",117,50,167,4,759,4550000
2014-12-03,Skälebräckeliden 8,"Kungälv - Centrum, Kungälvs kommun",125,85,210,8,1055,4250000
2014-11-28,Ängsgatan 19,"Centralt, Kungälvs kommun",145,62,207,9,626,3160000
2014-11-21,Kullegatan 10,"Centralt, Kungälvs kommun",113,51,164,7,543,3275000
2014-11-20,Nolby 170,"Kode, Kungälvs kommun",203,55,258,6,7383,4100000
2014-11-17,Kulperödsvägen 10,"Kungälv - Hålta, Kungälvs kommun",175,14,189,6,2341,3850000
2014-11-16,Häljeröd 300,"Kungälv - Romelanda, Kungälvs kommun",223,25,248,7,5647,5000000
2014-11-14,Rondan 8,"Ödsmålsmosse, Kungälvs kommun",125,29,154,5,1106,2920000
2014-11-12,Älvliden 2,"Kungälv, Kungälvs kommun",118,50,168,5,405,3450000
2014-11-12,Östergårdsgatan 23,"Ytterby, Kungälvs kommun",180,48,228,6,840,3500000
2014-11-09,Duvesjön 217,"Duvesjön / Kungälv, Kungälvs kommun",120,36,156,4,1091,3030000
2014-10-31,Dotorp 230,"Kärna, Kungälvs kommun",64,42,106,3,986,1800000
2014-10-28,Munkegärdegatan 251,"Kungälv, Kungälvs kommun",178,109,287,8,849,4325000
2014-10-15,Snäckvägen 3,"Ödsmålsmosse, Kungälvs kommun",76,28,104,4,1213,2575000
2014-10-13,Tulpanvägen 1,"Kärna, Kungälvs kommun",127,105,232,7,568,2225000
2014-10-09,Tegskiftegatan 50,"Tega, Kungälvs kommun",112,57,169,5,856,3150000
2014-09-26,Idrottsgatan 26,"Marstrand, Koön, Kungälvs kommun",130,20,150,5,565,4075000
2014-09-25,Västra Röd 130,"Kärna - Harestad, Kungälvs kommun",136,15,151,4,1170,3100000
2014-09-25,Skår 170,"Kärna, Kungälvs kommun",90,101,191,6,1054,2500000
2014-09-10,Hjälmgatan 1,"Ytterby - Stället, Kungälvs kommun",96,8,104,3,444,2900000
2014-09-09,Långåkersgatan 11,"Kungälv Centralt, Kungälvs kommun",129,36,165,5,1136,4700000
2014-09-08,Gamla Torget 10,"Kungälv Gamla Staden, Kungälvs kommun",90,23,113,4,134,3200000
2014-09-02,Norrmannebo 680,"Romelanda, Kungälvs kommun",172,71,243,7,4202,1700000
2014-08-26,Västerhöjdsvägen 18,"Kärna, Kungälvs kommun",115,3,118,4,291,3100000
2014-08-22,Gategården 182,"Hålta, Kungälvs kommun",240,50,290,8,1484,2975000
2014-08-20,Västra Porten 28,"Ytterby, Kungälvs kommun",120,16,136,3,954,3485000
2014-08-13,Rondan 22,"Ödsmålsmosse, Kungälvs kommun",72,65,137,6,1258,1900000
2014-06-30,Hasselvägen 4,"Romelanda - Diseröd, Kungälvs kommun",125,125,250,9,805,2300000
2014-06-25,Vävra 542,"Hålta, Kungälvs kommun",109,15,124,5,1106,2750000
2014-06-19,Halleravägen 8B,"Kovikshamn, Kungälvs kommun",150,30,180,7,3419,6050000
2014-06-18,Häljeröd 190,"Romelanda, Kungälvs kommun",84,79,163,5,7965,2710000
2015-04-09,Kristinedalsgatan 15,"Centralt, Kungälvs kommun",145,80,225,6,1191,4300000
2015-03-31,Sköldgatan 6,"Ytterby - Stället, Kungälvs kommun",96,8,104,3,402,3020000
2015-03-27,Solvagnsgatan 10,"Stället, Kungälvs kommun",139,12,151,5,405,4140000
2015-03-25,Tröskvägen 272,"Ullstorp, Kungälvs kommun",148,10,158,7,678,4870000
2015-03-25,Apelvägen 13,"Romelanda, Kungälvs kommun",106,4,110,6,449,2850000
2015-03-24,Prästvägen 715,"Romelanda, Kungälvs kommun",122,122,244,4,1025,3400000
2015-03-24,Kovikshamn 200,"Kungälv - Kovikshamn, Kungälvs kommun",90,85,175,3,1361,3500000
2015-03-24,Kulperödsvägen 11B,"Kungälv - Hålta, Kungälvs kommun",120,127,247,6,1007,5100000
2015-03-23,Hallebäcksvägen 2,"Kode, Kungälvs kommun",73,7,80,4,1029,1500000
2015-03-20,Flateby 590,"Harestad, Kungälvs kommun",114,65,179,3,3853,1995000
2015-03-20,Fågelstigen 36,"Kungälv, Kungälvs kommun",113,5,118,4,177,2980000
2015-03-19,Munkegärdegatan 320,"Munkegärde, Kungälvs kommun",148,36,184,7,675,4400000
2015-03-18,Norrmannebo 740 A,"Norrmannebo, Kungälvs kommun",84,9,93,5,931,1350000
2015-03-11,Norrmannebo 800,"Norrmannebo, Kungälvs kommun",150,10,160,6,2964,2600000
2015-03-05,Kulperödsvägen 17,"Bohuslän, Kungälvs kommun",133,119,252,6,2141,4200000
2015-03-03,Duvesjön 346,"Kungälv - Romelanda, Kungälvs kommun",145,7,152,6,900,3250000
2015-02-26,Fregattgatan 5,"Centralt, Kungälvs kommun",126,65,191,5,506,4300000
2015-02-26,Lilla Ryr 200,"Kungälv - Lycke, Kungälvs kommun",60,60,120,2,1406,2400000
2015-02-13,Bärnstensvägen 1,"Kode, Kungälvs kommun",177,170,347,7,1070,3050000
2015-02-12,Mellan-Restad 270,"Hålta, Kungälvs kommun",160,14,174,5,1233,3315000
2015-02-03,Tegskiftegatan 28,"Kungälv - Ytterby, Kungälvs kommun",134,134,268,7,832,4700000
2015-01-28,Grandalen 190,"Kungälv-Svartedalen, Kungälvs kommun",105,60,165,3,1378,1900000
2015-01-18,Vävra 120,"Bohuslän, Kungälvs kommun",121,25,146,7,3352,2600000
2015-01-16,Trankärrsliden 21,"Tveten & Skälebräcke, Kungälvs kommun",110,75,185,5,1216,2950000
2015-01-13,Lundby 475,"Kareby, Kungälvs kommun",141,40,181,5,2024,4000000
2014-12-12,Gårdskiftegatan 17,"Tega, Kungälvs kommun",163,35,198,6,1147,4050000
2019-08-20,Lysegården 110,"Romelanda, Kungälvs kommun",156,36,192,5,2899,3380000
2019-08-16,Munkholmsgatan 2,"Komarken, Kungälvs kommun",137,73,210,7,893,5400000
2019-08-16,Staby 360,"Kungälv - Kärna, Kungälvs kommun",119,75,194,5,1020,2900000
2019-08-16,Beryllvägen 2,"Kode, Kungälvs kommun",128,5,133,6,908,4455000
2019-08-15,Holm 440,"Kärna, Kungälvs kommun",131,13,144,5,1408,4275000
2019-08-12,Staby 750,"Kärna, Kungälvs kommun",117,151,268,7,2787,4325000
2019-08-02,Solvagnsgatan 2,"Ytterby, Kungälvs kommun",164,12,176,5,484,5455000
2019-08-01,Aspvägen 8,"Ytterby, Kungälvs kommun",130,90,220,5,602,4680000
2019-08-01,Rönnvägen 17,"Diseröd, Kungälvs kommun",125,80,205,6,805,3500000
2019-07-20,Prästvägen 990,"Diseröd, Kungälvs kommun",191,107,298,5,1941,5000000
2019-07-11,Bergliden 5,"Kode, Kungälvs kommun",68,16,84,3,1945,2970000
2019-07-09,Snäckliden 2,"Sundhammar, Kungälvs kommun",120,30,150,5,1085,4800000
2019-07-05,Vävra 470,"Hålta, Kungälvs kommun",160,10,170,5,3244,2900000
2019-07-05,Valeberg 105,"Solberga-Kode, Kungälvs kommun",98,55,153,4,2957,3350000
2019-07-03,Ranneberg 200,"Kärna, Kungälvs kommun",66,63,129,4,3315,2250000
2019-07-02,Vitsippegatan 12,"Ytterby, Kungälvs kommun",179,21,200,6,535,4650000
2019-06-28,Dotorp 250,"Kärna, Kungälvs kommun",126,32,158,5,1449,3825000
2019-06-26,Hövdingagatan 1,"Komarken, Kungälvs kommun",163,160,323,6,1030,5200000
2019-06-25,Ängsgatan 17,"Centralt, Kungälvs kommun",102,102,204,5,574,4620000
2019-06-23,Ranneberg 180,"Kärna, Kungälvs kommun",95,55,150,5,1204,2810000
2019-06-20,Enskiftegatan 14,"Ytterby, Kungälvs kommun",170,73,243,7,924,5575000
2019-06-20,Häljeröd 420,"Romelanda, Kungälvs kommun",146,62,208,5,1172,3800000
2019-06-20,Strömgatan 3,"Ytterby, Kungälvs kommun",94,47,141,5,955,4750000
2019-06-15,Norrmannebo 200,"Romelanda, Kungälvs kommun",127,71,198,6,3500,3200000
2019-06-14,Vråstigen 2,"Bohuslän, Kungälvs kommun",95,35,130,6,1661,3300000
2019-06-14,Skårby 590,"Kareby, Kungälvs kommun",65,10,75,2,1132,2350000
2019-06-11,Länsmansvägen 28,"Ytterby, Kungälvs kommun",127,51,178,6,862,4707000
2019-06-10,Nordön 180,"Tjuvkil, Kungälvs kommun",80,80,160,5,1587,4850000
2019-06-05,Brunskär 510,"Kärna, Kungälvs kommun",90,15,105,4,365,4250000
2020-05-20,Krokens väg 22,"Tjuvkil (västra delen)+Kroken, Kungälvs kommun",122,72,194,6,1320,5900000
2020-05-19,Bäckliden 10,"Kungälv, Kungälvs kommun",169,79,248,7,500,7700000
2020-05-16,Rishammarvägen 12,"Kungälv, Kungälvs kommun",185,26,211,7,747,6000000
2020-05-13,Kållen 140,"Romelanda, Kungälvs kommun",96,25,121,4,2207,3200000
2020-05-12,Kärnavägen 1,"Kärna, Kungälvs kommun",159,90,249,8,668,4300000
2020-05-12,Hamngatan 3,"Kungälv centralt, Kungälvs kommun",144,76,220,6,620,6100000
2020-05-12,Kvarnvägen 41,"Bohuslän, Kungälvs kommun",111,45,156,5,1194,3650000
2020-05-10,Åseby 120,"Kode / Solberga, Kungälvs kommun",91,71,162,3,19952,3825000
2020-05-06,Toftåsen 3,"Sundhammar, Kungälvs kommun",137,36,173,6,1235,5975000
2020-05-05,Skårshöjd 8,"Kärna, Kungälvs kommun",140,40,180,6,921,3700000
2020-04-29,Olserödsgatan 128,"Kungälv, Kungälvs kommun",150,39,189,4,1388,4650000
2020-04-28,Grokareby 130,"Kareby, Kungälvs kommun",200,26,226,6,6284,3825000
2020-04-28,Häljeröd 280,"Romelanda, Kungälvs kommun",199,24,223,7,3235,3700000
2020-04-25,Västra Röd 130,"Harestad, Kungälvs kommun",136,15,151,5,1170,4200000
2020-04-24,Bergåsvägen 17,"Ytterby, Kungälvs kommun",126,49,175,6,1054,4600000
2020-04-23,Aspvägen 7A,"Kungälv - Ytterby, Kungälvs kommun",106,104,210,6,640,4725000
2020-04-22,Hammar 150,"Harestad, Kungälvs kommun",95,65,160,4,1391,1895000
2020-04-22,Ingegatan 2E,"Komarken, Kungälvs kommun",102,49,151,5,108,3600000
2020-04-21,Tvetgatan 289,"Tveten, Kungälvs kommun",130,9,139,5,127,3700000
2020-04-17,Tjällviksvägen 14,"Instön, Kungälvs kommun",138,4,142,4,3032,4150000
2020-04-16,Ingetorp 190,"Kode, Kungälvs kommun",70,12,82,4,2160,2860000
2020-04-07,Bokvägen 8,"Centralt, Kungälvs kommun",170,40,210,8,635,6650000
2020-04-02,Löstorp 120,"Kareby, Kungälvs kommun",93,100,193,6,1313,3620000
2020-04-02,Flädervägen 48,"Diseröd, Kungälvs kommun",182,10,192,7,823,5455000
2020-04-02,Lievägen 232,"Ullstorp, Kungälvs kommun",134,5,139,5,257,5420000
2020-04-01,Lilla Fjellsholmen 33,"Lilla Fjellsholmen, Kungälvs kommun",108,18,126,4,412,7900000
2013-11-29,Rishammar 260,"Bohuslän, Kungälvs kommun",154,86,240,7,2982,2525000
2013-11-29,Skurhagagatan 4,"Centralt, Kungälvs kommun",190,75,265,7,798,2750000
2013-11-27,Domsvägen 4,"Ytterby, Kungälvs kommun",98,77,175,5,858,2150000
2013-11-25,Åldermansvägen 9,"Ytterby, Kungälvs kommun",174,74,248,5,1119,3600000
2013-11-15,Thorilds Gränd 9,"Centralt, Kungälvs kommun",121,3,124,4,422,4610000
2013-11-13,Åldermansvägen 12,"Ytterby, Kungälvs kommun",124,124,248,5,909,3745000
2013-11-11,Oskarsbergsgatan 34,"Tega, Kungälvs kommun",119,48,167,4,773,3020000
2013-11-04,Fontinvägen 26,"Centralt, Kungälvs kommun",166,63,229,6,1083,4675000
2013-10-31,Jägarvägen 6,"Bohuslän, Kungälvs kommun",159,16,175,5,564,2200000
2013-10-25,Komministergatan 16,"Centralt, Kungälvs kommun",175,100,275,7,723,5100000
2013-10-22,Fredkullagatan 24,"Centralt, Kungälvs kommun",80,40,120,4,918,2440000
2013-10-11,Åsleröd 110,"Ytterby, Kungälvs kommun",57,57,114,3,975,1555000
2013-10-11,Rundsvallen 150,"Ytterby - Rundsvallen, Kungälvs kommun",142,15,157,5,1440,2850000
2013-10-11,Krappvägen 574,"Ullstorp, Kungälvs kommun",170,29,199,5,807,4845000
2013-10-08,Glose 590,"Glose, Kungälvs kommun",108,57,165,5,1799,1850000
2013-10-08,Svärdgatan 6,"Stället, Kungälvs kommun",137,8,145,5,392,3560000
2013-10-03,Drakegatan 8,"Centralt, Kungälvs kommun",121,39,160,4,853,3400000
2013-09-18,Hällevad 140,"Duvesjön, Kungälvs kommun",144,58,202,6,2077,2955000
2013-09-13,Holm 230,"Kärna, Kungälvs kommun",155,7,162,6,2861,3700000
2013-09-09,Braseröd 120,"Romelanda, Kungälvs kommun",108,8,116,4,7164,1895000
2013-08-30,Lahälla 760,"Lahälla, Kungälvs kommun",181,60,241,5,2559,4500000
2013-08-30,Olsegården 13,"Olseröd, Kungälvs kommun",140,32,172,5,375,3280000
2013-08-28,Heden 180,"Ytterby-Ulvesund, Kungälvs kommun",60,57,117,3,2279,2500000
2013-08-26,Rönnvägen 14,"Romelanda - Diseröd, Kungälvs kommun",109,109,218,6,1059,2710000
2013-08-20,Ängsgatan 13,"Centralt, Kungälvs kommun",111,92,203,4,564,2550000
2013-08-15,Strandgatan 10B,"Centralt, Kungälvs kommun",101,6,107,4,414,3230000
2013-08-13,Vävra 705,"Hålta, Kungälvs kommun",118,11,129,4,1206,2450000
2013-08-05,Rönnvägen 1,"Romelanda - Diseröd, Kungälvs kommun",98,71,169,5,941,2250000
2013-07-22,Slånvägen 5,"Kärna, Kungälvs kommun",207,209,416,9,2017,3550000
2013-06-13,Karantänsgatan 4,"Bohuslän, Kungälvs kommun",145,70,215,7,619,4000000
2013-06-09,Rörtången 123,"Rörtången, Kungälvs kommun",101,70,171,3,1010,3600000
2023-03-23,Kulperödsvägen 17,"Bohuslän, Kungälvs kommun",133,119,252,6,2141,4800000
2023-03-09,Sköldgatan 8,"Stället, Kungälvs kommun",96,29,125,3,451,4225000
2023-03-08,Önneröd 120,"Kärna, Kungälvs kommun",133,29,162,5,3061,3750000
2023-03-02,Lagvägen 23,"Ytterby, Kungälvs kommun",107,7,114,4,757,2700000
2023-02-27,Tegskiftegatan 84,"Ytterby, Kungälvs kommun",101,146,247,5,1186,5310000
2023-02-21,Signehög 320,"Romelanda, Kungälvs kommun",105,57,162,5,1550,4350000
2023-02-07,Kärnavägen 4,"Kärna, Kungälvs kommun",110,90,200,7,860,4250000
2023-02-02,Korpedalsvägen 3,"Aröd, Kungälvs kommun",140,64,204,5,993,4000000
2023-01-19,Prästvägen 340,"Kungälv - Kareby, Kungälvs kommun",158,92,250,7,4235,6100000
2023-01-18,Granndalen 13,"Kärna, Kungälvs kommun",110,27,137,4,1093,3850000
2022-12-15,Bremnäs 130,"Lycke, Kungälvs kommun",167,40,207,8,938,4490000
2022-12-13,Bremnäs 155,"Lycke Bremnäs, Kungälvs kommun",137,53,190,6,1298,4125000
2022-12-02,Skurhagagatan 3,"Komarken, Kungälvs kommun",127,125,252,6,603,4700000
2022-11-29,Hammarberg 830,"Kode, Kungälvs kommun",73,15,88,3,1632,2900000
2022-11-18,Hältorp 130,"Ytterby, Kungälvs kommun",115,115,230,7,1372,4050000
2022-11-13,Sjöhåla 130,"Sjöhåla, Kungälvs kommun",121,75,196,4,1576,2400000
2022-11-12,Flädervägen 18,"Romelanda, Kungälvs kommun",137,20,157,6,353,3850000
2022-11-11,Lundby 440,"Kareby, Kungälvs kommun",125,120,245,5,1676,4500000
2022-11-06,Lefstad 350,"Kärna, Kungälvs kommun",129,90,219,6,2216,4050000
2022-10-21,Jägersberg 310,"Kode, Kungälvs kommun",184,28,212,6,26210,4000000
2020-06-30,Lerskärsvägen 18,"Kungälv - Tjuvkil, Kungälvs kommun",65,65,130,5,1216,3400000
2020-06-30,Bremnäs 510,"Lycke, Kungälvs kommun",85,45,130,4,2915,2350000
2020-06-29,Hövdingagatan 3,"Komarken, Kungälvs kommun",162,49,211,5,626,5300000
2020-06-28,Enekullsvägen 24,"Ytterby, Kungälvs kommun",200,24,224,7,980,5500000
2020-06-26,Bärnstensvägen 9,"Kode, Kungälvs kommun",100,95,195,5,1547,4000000
2020-06-25,Skårsäng 115,"Kärna, Kungälvs kommun",114,13,127,5,616,4400000
2020-06-24,Staby 260,"Staby, Kungälvs kommun",115,90,205,6,1125,2650000
2020-06-18,Settungsvägen 28,"Kungälv, Kungälvs kommun",141,24,165,6,429,6150000
2020-06-18,Rörtången 111C,"Rörtången, Kungälvs kommun",155,100,255,4,951,9600000
2020-06-16,Ulvesund 110,"Ytterby, Kungälvs kommun",153,50,203,5,2830,4200000
2020-06-15,Fridhemsgatan 3,"Centrum, Kungälvs kommun",108,74,182,5,851,5200000
2020-06-15,Ödsmål 360,"Rörtången, Kungälvs kommun",105,66,171,5,794,3840000
2020-06-10,Västra Röd 390,"Kärna, Kungälvs kommun",123,25,148,5,843,3295000
2020-06-10,Gårdskiftegatan 39,"Övre Tega, Kungälvs kommun",171,21,192,6,830,5450000
2020-06-09,Staby 490,"Kärna, Kungälvs kommun",100,70,170,4,2230,5000000
2020-06-09,Smidesvägen 6,"Kode, Kungälvs kommun",95,60,155,6,846,3860000
2020-06-07,Bräcke 320,"Kärna, Kungälvs kommun",148,56,204,6,7880,5850000
2020-06-05,Staby 350,"Kungälv - Kärna, Kungälvs kommun",145,75,220,5,911,3300000
2020-06-04,Berghällsvägen 10,"Kode, Kungälvs kommun",52,16,68,3,1224,2495000
2020-06-04,Lingonvägen 23,"Centralt, Kungälvs kommun",175,24,199,6,731,6150000
2020-06-03,Duvesjön 333,"Duvesjön, Kungälvs kommun",125,31,156,4,1073,3650000
2020-06-02,Dannemarksgatan 16,"Övre Tega, Kungälvs kommun",148,180,328,6,1123,5150000
2020-05-25,Staby 650,"Kärna, Kungälvs kommun",94,88,182,5,1011,3270000
2020-05-21,Östra gatan 6,"Kungälv, Kungälvs kommun",135,68,203,7,1176,6750000
2020-05-20,Dalvägen 6,"Kode, Kungälvs kommun",52,30,82,2,1378,2600000
2020-05-20,Årsnäs 300,"Kode, Kungälvs kommun",137,5,142,5,1516,5900000
2015-07-01,Flateby 180,"Harestad, Kungälvs kommun",119,98,217,6,5476,3400000
2015-06-26,Strömgatan 6,"Ytterby, Kungälvs kommun",98,71,169,5,1169,3100000
2015-06-24,Bollestad 140,"Kareby, Kungälvs kommun",110,5,115,6,19720,3200000
2015-06-17,Stora Risby 380,"Kungälv - Hålta, Kungälvs kommun",75,55,130,5,963,2200000
2015-06-16,Solvagnsgatan 16,"Ytterby - Stället, Kungälvs kommun",165,12,177,6,771,5275000
2015-06-14,Lievägen 242,"Kungälv - Ullstorp, Kungälvs kommun",122,5,127,5,236,3970000
2015-06-05,Slottsgatan 6,"Marstrand - Koön, Kungälvs kommun",126,14,140,6,340,8000000
2015-06-04,Högsberg 360,"Kode, Kungälvs kommun",72,65,137,3,2242,2500000
2015-06-04,Lefstad 190,"Bohuslän, Kungälvs kommun",65,68,133,3,1906,1975000
2015-06-03,Hanekullen 210,"Kungälv - Kareby, Kungälvs kommun",148,30,178,5,1892,4150000
2015-05-31,Länsmansvägen 2,"Ytterby, Kungälvs kommun",195,195,390,7,1753,4200000
2015-05-29,Marieberg 220,"Romelanda, Kungälvs kommun",183,12,195,5,1541,3500000
2015-05-29,Sörgårdsvägen 510,"Kungälv Kärna Sundhammar, Kungälvs kommun",200,45,245,9,1930,3660000
2015-05-29,Husfrejagatan 4,"Kungälv Iskällan, Kungälvs kommun",127,174,301,7,938,3675000
2015-05-23,Kvarnvägen 22,"Kungälv - Ingetorp, Kungälvs kommun",68,68,136,5,1318,2800000
2015-05-22,Korpvägen 265,"Kungälv, Kungälvs kommun",133,26,159,5,401,4750000
2015-05-19,Västerhöjdsvägen 14,"Kärna, Kungälvs kommun",121,20,141,5,369,950000
2015-05-19,Madängsgatan 13,"Centralt Kungälv, Kungälvs kommun",154,15,169,7,740,3995000
2015-05-18,Gråstensvägen 37,"Kode, Kungälvs kommun",107,40,147,5,1374,3420000
2015-05-08,Kållen 130,"Romelanda, Kungälvs kommun",111,53,164,5,3756,2775000
2015-05-01,Duvesjön 344,"Bohuslän, Kungälvs kommun",120,50,170,4,1136,3325000
2015-04-30,Kyrkogatan 15,"Marstrandsön, Kungälvs kommun",115,25,140,6,367,10000000
2015-04-27,Södra Ekelöv 155,"Hålta, Kungälvs kommun",140,66,206,6,2761,3395000
2015-04-23,Kungälvsvägen 73,"Grinden, Kungälvs kommun",93,51,144,5,1469,3525000
2015-04-16,Västra Röd 340,"Kärna - Harestad, Kungälvs kommun",117,66,183,6,1472,2150000
2015-04-16,Byvägen 59,"Ödsmålsmosse, Kungälvs kommun",104,20,124,4,1791,2900000
2018-12-20,Skålldal 140,"Bohuslän, Kungälvs kommun",266,42,308,8,1036,4300000
